portal,url_consultada,fecha_consulta,proyectos_encontrados,status
Inmuebles24,https://www.inmuebles24.com/desarrollos/venta.html,2026-03-12,0,error_403
Lamudi,https://www.lamudi.com.mx/venta/?q=preventa+nuevo+lanzamiento,2026-03-12,0,error_404
Casas y Terrenos,https://www.casasyterrenos.com/preventa,2026-03-12,0,error_404
Propiedades.com,https://propiedades.com/venta?q=preventa+lanzamiento+nuevo,2026-03-12,0,error_0
Metros Cúbicos,https://www.metroscubicos.com/resultados/venta?q=preventa+nuevo+desarrollo,2026-03-12,0,ok
La Haus,https://www.lahaus.mx/venta/desarrollos-inmobiliarios/nuevos-departamentos-preventa,2026-03-12,40,ok
Behome,https://www.behome.mx/riviera-maya-en-preventa/,2026-03-12,3,ok
Monterrey Skyline,https://monterreyskyline.com/preventas-en-monterrey-precio-por-mt2/,2026-03-12,5,ok
La Haus,lahaus.mx/desarrollos/*,2026-03-12,0,ok
Behome,https://www.behome.mx/desarrollos,2026-03-12,0,error_404
Monterrey Skyline,https://www.monterreyskyline.com/desarrollos,2026-03-12,0,error_404
Centro Urbano,https://centrourbano.com/feed/,2026-03-12,5,ok
Inmobiliare Magazine,https://www.inmobiliare.com/feed/,2026-03-12,2,ok
Inmuebles24,duckduckgo.com: site:inmuebles24.com preventa desarrollo nuevo 2026,2026-03-12,10,ok
Lamudi,duckduckgo.com: site:lamudi.com.mx preventa nuevo desarrollo 2026,2026-03-12,10,ok
Casas y Terrenos,duckduckgo.com: site:casasyterrenos.com preventa desarrollo,2026-03-12,0,ok_sin_resultados
Google News MX,duckduckgo.com: nuevo desarrollo inmobiliario preventa México 2026,2026-03-12,0,ok_sin_resultados
Google News MX,duckduckgo.com: lanzamiento proyecto inmobiliario CDMX Monterrey Guadalajara,2026-03-12,0,ok_sin_resultados
Google News MX,duckduckgo.com: preventa departamentos torre México 2026,2026-03-12,0,ok_sin_resultados
La Haus,duckduckgo.com: site:lahaus.mx preventa desarrollo nuevo departamentos,2026-03-12,0,ok
La Haus,duckduckgo.com: site:lahaus.mx preventa guadalajara monterrey cdmx,2026-03-12,0,ok
La Haus,duckduckgo.com: site:lahaus.mx preventa cancun tulum merida queretaro,2026-03-12,0,ok
Behome,duckduckgo.com: site:behome.mx desarrollo preventa riviera maya cancun tulum,2026-03-12,0,ok
Monterrey Skyline,duckduckgo.com: site:monterreyskyline.com desarrollo preventa monterrey,2026-03-12,0,ok
Centro Urbano,https://centrourbano.com/feed/,2026-03-12,5,ok
Inmobiliare Magazine,https://www.inmobiliare.com/feed/,2026-03-12,2,ok
Inmuebles24,duckduckgo.com: site:inmuebles24.com preventa desarrollo nuevo 2026,2026-03-12,0,ok_sin_resultados
Lamudi,duckduckgo.com: site:lamudi.com.mx preventa nuevo desarrollo 2026,2026-03-12,0,ok_sin_resultados
Casas y Terrenos,duckduckgo.com: site:casasyterrenos.com preventa desarrollo,2026-03-12,0,ok_sin_resultados
Google News MX,duckduckgo.com: nuevo desarrollo inmobiliario preventa México 2026,2026-03-12,0,ok_sin_resultados
Google News MX,duckduckgo.com: lanzamiento proyecto inmobiliario CDMX Monterrey Guadalajara,2026-03-12,0,ok_sin_resultados
Google News MX,duckduckgo.com: preventa departamentos torre México 2026,2026-03-12,0,ok_sin_resultados
Behome,https://www.behome.mx,2026-03-13,6,ok
Monterrey Skyline,https://monterreyskyline.com,2026-03-13,8,ok
Factor Inmobiliario,https://www.factorinmobiliario.mx/desarrollos,2026-03-13,30,ok
La Haus,https://www.lahaus.mx/buscar,2026-03-13,5,ok
Centro Urbano,https://centrourbano.com/feed/,2026-03-13,1,ok
Inmobiliare Magazine,https://www.inmobiliare.com/feed/,2026-03-13,1,ok
Inmuebles24,WebSearch: site:inmuebles24.com preventa,2026-03-13,5,ok
Lamudi,WebSearch: site:lamudi.com.mx preventa,2026-03-13,2,ok
Google News MX,WebSearch: nuevo lanzamiento desarrollo,2026-03-13,6,ok
Trovit,WebSearch: preventa CDMX 2026,2026-03-13,2,ok
Luumo Real Estate,https://www.luumorealestate.com/desarrollos,2026-03-13,0,error_no_data
TheRedSearch,https://theredsearch.com/processing/,2026-03-13,1741,ok
