proyecto,barrio_colonia,ciudad,unidad,tipo,tipologia,recamaras,alberca,superficie_m2,precio,moneda,estado,piso,fecha_revision,url_drive
CENTRAL PARK II,Little Italy,Playa del Carmen,01,,,,,48.71,3300000.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,02,,,,,48.71,3098729.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,48,,,,,48.71,3339250.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,46,,,,,46.48,3411450.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,51,,,,,,3988271.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,201,,,,,54.58,3700250.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,203,,,,,52.35,3880750.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,204,,,,,52.35,3880750.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,205,,,,,96.19,7278470.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,206,,,,,96.19,7524000.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,304,,,,,51.49,3952950.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,306,,,,,58.74,4560000.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,402,,,,,54.58,4195200.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,504,,,,,,4313950.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,505,,,,,66.65,5509373.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,506,,,,,58.74,5101272.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
CENTRAL PARK II,Little Italy,Playa del Carmen,507,,,,,58.74,5101272.0,MXN,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
THE FIVES DOWNTOWN,Center,Playa del Carmen,95,,,,,,189000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,94,,,,,,165000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,149,,,,,,149000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,219,,,,,,219000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,201,LOFT,LOFT,1,,,193000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,203,LOFT,LOFT,1,,,195000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,221,LOFT,LOFT,1,,,221000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,202,,,,,,193000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,204,,,,,,195000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,249,,,,,,249000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,309,,,,,,309000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,301,,,,,,179000.0,USD,VENDIDA,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,239,LOFT,LOFT,1,,,239000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,235,LOFT,LOFT,1,,,235000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,179,,,,,,179000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,306,,,,,,179000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,269,,,,,,269000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,209,ESTUDIO,ESTUDIO,0,,,159000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,215,ESTUDIO,ESTUDIO,0,,,159000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,115,ESTUDIO,ESTUDIO,0,,,175000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,217,ESTUDIO,ESTUDIO,0,,,175000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,407,ESTUDIO,ESTUDIO,0,,,189000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,218,ESTUDIO,ESTUDIO,0,,,191000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,303,ESTUDIO,ESTUDIO,0,,,195000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,305,ESTUDIO,ESTUDIO,0,,,195000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,322,ESTUDIO,ESTUDIO,0,,,199000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,123,ESTUDIO,ESTUDIO,0,,,215000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,113,ESTUDIO,ESTUDIO,0,,,225000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,304,,,,,,269000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,423,,,,,,299000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,497,,,,,,315000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,412,,,,,,330000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,106,,,,,,389000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,206,,,,,,459000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
THE FIVES DOWNTOWN,Center,Playa del Carmen,417,,,,,,899000.0,USD,DISPONIBLE,,2026-03-17,https://drive.google.com/drive/folders/1dVqYOnDpSoGyxWYjvEKi9tO40AKOZ70T
