nombre_proyecto,desarrolladora,ciudad,estado_republica,zona,tipo_desarrollo,tipo_unidades,rango_precios,num_unidades,fecha_entrega_estimada,etapa,url_fuente,portal_fuente,fecha_deteccion,notas
Alcalde Mil,,Guadalajara,Jalisco,Moderna,Residencial,Departamentos,"Desde $2,727,000 MXN",,2027-Q1,Preventa,https://www.lahaus.mx/pd/guadalajara/alcalde-mil-torre-a,La Haus,2026-03-12,
Habitat Azul,,Guadalajara,Jalisco,Barrio Mexicaltzingo,Residencial,Departamentos,"Desde $1,937,000 MXN",,2026-Q2,Preventa,https://www.lahaus.mx/pd/guadalajara/habitat-azul,La Haus,2026-03-12,
Sándalo,,Guadalajara,Jalisco,Country Club,Residencial,Departamentos,"Desde $3,872,604 MXN",,2027-Q2,Preventa,https://www.lahaus.mx/pd/guadalajara/sandalo-apartamento,La Haus,2026-03-12,
Cassianova,,Guadalajara,Jalisco,Americana,Residencial,Departamentos,"Desde $3,681,290 MXN",102,2025-Q4,Preventa,https://www.lahaus.mx/pd/guadalajara/cassianova,La Haus,2026-03-12,
Argentina 824,,Guadalajara,Jalisco,Moderna,Residencial,Departamentos,"Desde $3,552,930 MXN",66,2025-Q4,Preventa,https://www.lahaus.mx/pd/guadalajara/argentina-824,La Haus,2026-03-12,
Punta Norte,,Guadalajara,Jalisco,Lomas de Independencia,Residencial,Departamentos,"Desde $2,175,000 MXN",336,2025-Q2,Preventa,https://www.lahaus.mx/pd/guadalajara/punta-norte-20250328,La Haus,2026-03-12,Desarrollo grande: 336 unidades
Kanva Reforma,,Guadalajara,Jalisco,Ladrón de Guevara,Residencial,Departamentos,"Desde $2,455,000 MXN",,2026-Q4,Preventa,https://www.lahaus.mx/pd/guadalajara/kanva-reforma,La Haus,2026-03-12,
Torre 12,,Guadalajara,Jalisco,Arcos Vallarta,Residencial,Departamentos,"Desde $2,968,530 MXN",,2027-Q3,Preventa,https://www.lahaus.mx/pd/guadalajara/torre-12,La Haus,2026-03-12,
TORRE PUNTO,,Guadalajara,Jalisco,Providencia,Residencial Plus,Departamentos,"Desde $4,311,000 MXN",,2025-Q4,Preventa,https://www.lahaus.mx/pd/guadalajara/torre-punto,La Haus,2026-03-12,
Giralda Vertical,,Zapopan,Jalisco,La Giralda,Residencial,Departamentos,"Desde $2,818,000 MXN",,2027-Q2,Preventa,https://www.lahaus.mx/pd/zapopan/giralda-vertical,La Haus,2026-03-12,
Altamira Sustainable Townhomes,,Zapopan,Jalisco,Altamira,Residencial Plus,Townhomes,"Desde $13,910,000 MXN",,2026-Q3,Preventa,https://www.lahaus.mx/pd/zapopan/altamira-sustainable-townhomes,La Haus,2026-03-12,Proyecto sustentable premium
Iqono Park,,Zapopan,Jalisco,Juan Manuel Vallarta,Residencial Plus,Departamentos,"Desde $4,950,000 MXN",,2026-Q4,Preventa,https://www.lahaus.mx/pd/zapopan/iqono-park,La Haus,2026-03-12,
Xelozía Residencial,,Zapopan,Jalisco,Ciudad Granja,Residencial,Departamentos,"Desde $2,956,568 MXN",,2027-Q4,Preventa,https://www.lahaus.mx/pd/zapopan/xelozia,La Haus,2026-03-12,
Entrebosques T5,,Zapopan,Jalisco,Valle Real,Residencial Plus,Departamentos,"Desde $4,293,000 MXN",,2029-Q3,Preventa,https://www.lahaus.mx/pd/zapopan/entrebosques-t5,La Haus,2026-03-12,
Altaí,,Tlaquepaque,Jalisco,Toluquilla,Residencial,Departamentos,"Desde $1,995,840 MXN",,2026-Q2,Preventa,https://www.lahaus.mx/pd/tlaquepaque/altai-1,La Haus,2026-03-12,
